年別,行駛路肩,超速,大客車站立乘客,超載,路肩上下客,無照駕駛,酒後駕車,不依規定車道行駛,任意停車或未擺警告標誌,任意變換車道,載貨未覆蓋沿途滲漏飛散,裝載不穩妥,裝載危險物品未依規定,號牌粘貼反光紙塗抹磨損不清或未依規定縣掛號牌,未保持行車安全距離,其他違規,合計取締數
94,43495,688801,232,10031,93,85306,10499,37754,7159,38285,939,687,1273,15811,36973,59192,1036530
95,40950,609328,131,9937,25,41774,9915,22065,5588,30499,645,649,848,7964,37636,93626,911580
96,35383,695921,36,8866,7,12502,9486,17385,3313,40554,470,3410,919,2572,46220,97009,974053
97,24625,565548,25,10498,0,10368,8598,15553,4059,35080,494,3989,1376,534,31219,131203,843169
98,15770,473948,16,10497,7,9158,9560,8540,1612,26874,363,3306,950,393,21991,114931,697916
99,16111,493017,4,9789,27,7667,7174,8493,1368,22326,102,3760,965,270,16578,116108,703759
100,12781,477775,23,10079,42,6047,5816,9707,1330,23463,2457,4079,998,175,13395,110835,679002
101,12189,460826,21,8618,38,7575,6129,11381,1228,23516,1724,2620,805,124,14868,107702,659364
102,14023,417088,9,9938,51,7339,4921,11384,921,26127,867,3514,1005,113,15429,98841,611570
103,16750,415784,6,4413,59,4684,5039,10467,1282,23800,1004,3940,1062,98,14787,92344,595519
104,27203,392444,11,11380,70,5207,4024,9541,1565,25114,928,4223,1245,140,17435,117361,617891
105,29144,383655,8,10013,0,5375,4034,11694,1113,29163,950,5302,1118,179,19764,129288,630870
106,35554,295047,6,12771,0,5660,4506,16548,1192,62309,1243,7249,1059,297,21815,123485,588741
107,31541,319758,6,11518,0,4039,3427,18783,764,72817,1160,5739,683,416,23851,128132,622634
108,36434,338712,3,13109,0,2657,2230,14785,1071,80022,1171,299,394,377,27733,145888,664885
109,40229,232785,1,12669,0,3194,2259,23845,1717,140252,1294,631,442,438,37151,181406,678313
110,30660,237689,0,11135,4,2973,908,23439,1446,157197,1517,793,343,29,42393,186144,696670